tool	instance	measure	value	seconds	status
detk1	adler	hw_k3	yes	0.01	[exit 0]
htd	adler	tw	4	0.01	[exit 0]
htd	adler	ghw_ub	3	0.01	[exit 0]
htdleo	adler	hw	3	0.29	[exit 0]
htdleo	adler	ghw	2	0.26	[exit 0]
htdsmt	adler	hw	3	0.27	[exit 0]
frasmt	adler	fhw		0.39	[exit 1]
balancedgo	c_grid4	hw_detk_exact	3	0.02	[exit 0]
balancedgo	c_grid4	hw_detk_exact_pace	3	0.02	[exit 0]
logk	c_grid4	hw_exact	3	0.01	[exit 0]
balancedgo	c_grid4	ghw_global_k1	no	0.01	[exit 0]
balancedgo	c_grid4	ghw_global_k2	no	0.53	[exit 0]
balancedgo	c_grid4	ghw_global_k3	3	0.08	[exit 0]
ndk	c_grid4	hw_detk_k1	no	0.01	[exit 0]
ndk	c_grid4	hw_detk_k2	no	0.02	[exit 0]
ndk	c_grid4	hw_detk_k3	yes	0.01	[exit 0]
ndk	c_grid4	ghw_balsep_k1	no	0.01	[exit 0]
ndk	c_grid4	ghw_balsep_k2	no	0.04	[exit 0]
ndk	c_grid4	ghw_balsep_k3	yes	0.16	[exit 0]
ndk	c_grid4	stats	?	0.01	[exit 0]
detk1	c_grid4	hw_k3	yes	0.01	[exit 0]
htd	c_grid4	tw	4	0.01	[exit 0]
htd	c_grid4	ghw_ub	4	0.01	[exit 0]
htdleo	c_grid4	hw	3	0.42	[exit 0]
htdleo	c_grid4	ghw	3	0.35	[exit 0]
htdsmt	c_grid4	hw	3	0.37	[exit 0]
frasmt	c_grid4	fhw		0.32	[exit 1]
balancedgo	grohe_marx_3	hw_detk_exact	3	0.01	[exit 0]
balancedgo	grohe_marx_3	hw_detk_exact_pace	3	0.01	[exit 0]
logk	grohe_marx_3	hw_exact	3	0.01	[exit 0]
balancedgo	grohe_marx_3	ghw_global_k1	no	0.01	[exit 0]
balancedgo	grohe_marx_3	ghw_global_k2	no	300.01	[exit 124]
balancedgo	grohe_marx_3	ghw_global_k3	no	300.02	[exit 124]
ndk	grohe_marx_3	hw_detk_k1	no	0.01	[exit 0]
ndk	grohe_marx_3	hw_detk_k2	no	0.01	[exit 0]
ndk	grohe_marx_3	hw_detk_k3	yes	0.01	[exit 0]
ndk	grohe_marx_3	ghw_balsep_k1	no	0.01	[exit 0]
ndk	grohe_marx_3	ghw_balsep_k2	no	0.01	[exit 0]
ndk	grohe_marx_3	ghw_balsep_k3	yes	0.01	[exit 0]
ndk	grohe_marx_3	stats	?	0.01	[exit 0]
detk1	grohe_marx_3	hw_k3	yes	0.01	[exit 0]
htd	grohe_marx_3	tw	18	0.01	[exit 0]
htd	grohe_marx_3	ghw_ub	3	0.01	[exit 0]
htdleo	grohe_marx_3	hw	3	0.39	[exit 0]
htdleo	grohe_marx_3	ghw	3	0.37	[exit 0]
htdsmt	grohe_marx_3	hw	3	0.37	[exit 0]
frasmt	grohe_marx_3	fhw	2.0	3.06	[exit 0]
balancedgo	c_grid5	hw_detk_exact	3	0.05	[exit 0]
balancedgo	c_grid5	hw_detk_exact_pace	3	0.05	[exit 0]
logk	c_grid5	hw_exact	3	0.04	[exit 0]
balancedgo	c_grid5	ghw_global_k1	no	0.01	[exit 0]
balancedgo	c_grid5	ghw_global_k2	no	0.07	[exit 0]
balancedgo	c_grid5	ghw_global_k3	3	2.14	[exit 0]
ndk	c_grid5	hw_detk_k1	no	0.01	[exit 0]
ndk	c_grid5	hw_detk_k2	no	0.06	[exit 0]
ndk	c_grid5	hw_detk_k3	yes	0.01	[exit 0]
ndk	c_grid5	ghw_balsep_k1	no	0.01	[exit 0]
ndk	c_grid5	ghw_balsep_k2	no	0.03	[exit 0]
ndk	c_grid5	ghw_balsep_k3	yes	0.06	[exit 0]
ndk	c_grid5	stats	?	0.02	[exit 0]
detk1	c_grid5	hw_k3	yes	0.01	[exit 0]
htd	c_grid5	tw	5	0.01	[exit 0]
htd	c_grid5	ghw_ub	4	0.01	[exit 0]
htdleo	c_grid5	hw	3	0.77	[exit 0]
htdleo	c_grid5	ghw	3	0.64	[exit 0]
htdsmt	c_grid5	hw	3	0.74	[exit 0]
frasmt	c_grid5	fhw	3.0	1.55	[exit 0]
balancedgo	c_grid2d_10	hw_detk_exact	4	3.26	[exit 0]
balancedgo	c_grid2d_10	hw_detk_exact_pace	4	4.41	[exit 0]
logk	c_grid2d_10	hw_exact	4	1.11	[exit 0]
balancedgo	c_grid2d_10	ghw_global_k1	no	0.02	[exit 0]
balancedgo	c_grid2d_10	ghw_global_k2	no	6.60	[exit 0]
frasmt	adler	fhw	2.0	0.45	[exit 0]
frasmt	c_grid4	fhw	3.0	0.60	[exit 0]
balancedgo	c_grid2d_10	ghw_global_k3	timeout	240.03	[exit 124]
balancedgo	c_grid2d_10	ghw_global_k4	timeout	240.20	[exit 124]
ndk	c_grid2d_10	hw_detk_k1	no	0.01	[exit 0]
